2026-06-25 14:33:21,523 - INFO - ------------- Ingestion Started -------------
2026-06-25 14:33:21,523 - INFO - Starting begin_inventory.csv
2026-06-25 14:35:15,083 - INFO - sales: Chunk 20 inserted (100,000 rows)
2026-06-25 14:35:17,011 - INFO - sales: Chunk 21 inserted (100,000 rows)
2026-06-25 14:35:18,730 - INFO - sales: Chunk 22 inserted (100,000 rows)
2026-06-25 14:35:20,554 - INFO - sales: Chunk 23 inserted (100,000 rows)
2026-06-25 14:35:22,333 - INFO - sales: Chunk 24 inserted (100,000 rows)
2026-06-25 14:35:24,083 - INFO - sales: Chunk 25 inserted (100,000 rows)
2026-06-25 14:35:25,824 - INFO - sales: Chunk 26 inserted (100,000 rows)
2026-06-25 14:35:27,547 - INFO - sales: Chunk 27 inserted (100,000 rows)
2026-06-25 14:35:29,257 - INFO - sales: Chunk 28 inserted (100,000 rows)
2026-06-25 14:35:30,880 - INFO - sales: Chunk 29 inserted (100,000 rows)
2026-06-25 14:35:32,588 - INFO - sales: Chunk 30 inserted (100,000 rows)
2026-06-25 14:35:34,441 - INFO - sales: Chunk 31 inserted (100,000 rows)
2026-06-25 14:35:36,153 - INFO - sales: Chunk 32 inserted (100,000 rows)
2026-06-25 14:35:37,870 - INFO - sales: Chunk 33 inserted (100,000 rows)
2026-06-25 14:35:39,709 - INFO - sales: Chunk 34 inserted (100,000 rows)
2026-06-25 14:35:41,164 - INFO - sales: Chunk 35 inserted (100,000 rows)
2026-06-25 14:35:42,981 - INFO - sales: Chunk 36 inserted (100,000 rows)
2026-06-25 14:35:44,584 - INFO - sales: Chunk 37 inserted (100,000 rows)
2026-06-25 14:35:46,189 - INFO - sales: Chunk 38 inserted (100,000 rows)
2026-06-25 14:35:47,763 - INFO - sales: Chunk 39 inserted (100,000 rows)
2026-06-25 14:35:49,489 - INFO - sales: Chunk 40 inserted (100,000 rows)
2026-06-25 14:35:51,222 - INFO - sales: Chunk 41 inserted (100,000 rows)
2026-06-25 14:35:52,980 - INFO - sales: Chunk 42 inserted (100,000 rows)
2026-06-25 14:35:54,891 - INFO - sales: Chunk 43 inserted (100,000 rows)
2026-06-25 14:35:56,751 - INFO - sales: Chunk 44 inserted (100,000 rows)
2026-06-25 14:35:58,487 - INFO - sales: Chunk 45 inserted (100,000 rows)
2026-06-25 14:36:00,145 - INFO - sales: Chunk 46 inserted (100,000 rows)
2026-06-25 14:36:01,859 - INFO - sales: Chunk 47 inserted (100,000 rows)
2026-06-25 14:36:03,472 - INFO - sales: Chunk 48 inserted (100,000 rows)
2026-06-25 14:36:05,067 - INFO - sales: Chunk 49 inserted (100,000 rows)
2026-06-25 14:36:06,904 - INFO - sales: Chunk 50 inserted (100,000 rows)
2026-06-25 14:36:08,313 - INFO - sales: Chunk 51 inserted (100,000 rows)
2026-06-25 14:36:10,002 - INFO - sales: Chunk 52 inserted (100,000 rows)
2026-06-25 14:36:11,513 - INFO - sales: Chunk 53 inserted (100,000 rows)
2026-06-25 14:36:13,039 - INFO - sales: Chunk 54 inserted (100,000 rows)
2026-06-25 14:36:14,479 - INFO - sales: Chunk 55 inserted (100,000 rows)
2026-06-25 14:36:16,061 - INFO - sales: Chunk 56 inserted (100,000 rows)
2026-06-25 14:36:17,524 - INFO - sales: Chunk 57 inserted (100,000 rows)
2026-06-25 14:36:19,180 - INFO - sales: Chunk 58 inserted (100,000 rows)
2026-06-25 14:36:20,938 - INFO - sales: Chunk 59 inserted (100,000 rows)
2026-06-25 14:36:22,680 - INFO - sales: Chunk 60 inserted (100,000 rows)
2026-06-25 14:36:24,519 - INFO - sales: Chunk 61 inserted (100,000 rows)
2026-06-25 14:36:26,199 - INFO - sales: Chunk 62 inserted (100,000 rows)
2026-06-25 14:36:28,069 - INFO - sales: Chunk 63 inserted (100,000 rows)
2026-06-25 14:36:29,763 - INFO - sales: Chunk 64 inserted (100,000 rows)
2026-06-25 14:36:31,569 - INFO - sales: Chunk 65 inserted (100,000 rows)
2026-06-25 14:36:33,106 - INFO - sales: Chunk 66 inserted (100,000 rows)
2026-06-25 14:36:34,841 - INFO - sales: Chunk 67 inserted (100,000 rows)
2026-06-25 14:36:36,490 - INFO - sales: Chunk 68 inserted (100,000 rows)
2026-06-25 14:36:38,184 - INFO - sales: Chunk 69 inserted (100,000 rows)
2026-06-25 14:36:40,017 - INFO - sales: Chunk 70 inserted (100,000 rows)
2026-06-25 14:36:41,519 - INFO - sales: Chunk 71 inserted (100,000 rows)
2026-06-25 14:36:43,323 - INFO - sales: Chunk 72 inserted (100,000 rows)
2026-06-25 14:36:45,111 - INFO - sales: Chunk 73 inserted (100,000 rows)
2026-06-25 14:36:46,734 - INFO - sales: Chunk 74 inserted (100,000 rows)
2026-06-25 14:36:48,126 - INFO - sales: Chunk 75 inserted (100,000 rows)
2026-06-25 14:36:49,854 - INFO - sales: Chunk 76 inserted (100,000 rows)
2026-06-25 14:36:51,271 - INFO - sales: Chunk 77 inserted (100,000 rows)
2026-06-25 14:36:52,950 - INFO - sales: Chunk 78 inserted (100,000 rows)
2026-06-25 14:36:54,835 - INFO - sales: Chunk 79 inserted (100,000 rows)
2026-06-25 14:36:56,559 - INFO - sales: Chunk 80 inserted (100,000 rows)
2026-06-25 14:36:58,384 - INFO - sales: Chunk 81 inserted (100,000 rows)
2026-06-25 14:37:00,126 - INFO - sales: Chunk 82 inserted (100,000 rows)
2026-06-25 14:37:01,829 - INFO - sales: Chunk 83 inserted (100,000 rows)
2026-06-25 14:37:03,633 - INFO - sales: Chunk 84 inserted (100,000 rows)
2026-06-25 14:37:05,290 - INFO - sales: Chunk 85 inserted (100,000 rows)
2026-06-25 14:37:07,267 - INFO - sales: Chunk 86 inserted (100,000 rows)
2026-06-25 14:37:08,944 - INFO - sales: Chunk 87 inserted (100,000 rows)
2026-06-25 14:37:10,713 - INFO - sales: Chunk 88 inserted (100,000 rows)
2026-06-25 14:37:12,491 - INFO - sales: Chunk 89 inserted (100,000 rows)
2026-06-25 14:37:14,210 - INFO - sales: Chunk 90 inserted (100,000 rows)
2026-06-25 14:37:15,742 - INFO - sales: Chunk 91 inserted (100,000 rows)
2026-06-25 14:37:17,456 - INFO - sales: Chunk 92 inserted (100,000 rows)
2026-06-25 14:37:19,073 - INFO - sales: Chunk 93 inserted (100,000 rows)
2026-06-25 14:37:20,742 - INFO - sales: Chunk 94 inserted (100,000 rows)
2026-06-25 14:37:22,397 - INFO - sales: Chunk 95 inserted (100,000 rows)
2026-06-25 14:37:24,161 - INFO - sales: Chunk 96 inserted (100,000 rows)
2026-06-25 14:37:25,996 - INFO - sales: Chunk 97 inserted (100,000 rows)
2026-06-25 14:37:27,799 - INFO - sales: Chunk 98 inserted (100,000 rows)
2026-06-25 14:37:29,790 - INFO - sales: Chunk 99 inserted (100,000 rows)
2026-06-25 14:37:31,653 - INFO - sales: Chunk 100 inserted (100,000 rows)
2026-06-25 14:37:33,286 - INFO - sales: Chunk 101 inserted (100,000 rows)
2026-06-25 14:37:35,222 - INFO - sales: Chunk 102 inserted (100,000 rows)
2026-06-25 14:37:37,018 - INFO - sales: Chunk 103 inserted (100,000 rows)
2026-06-25 14:37:38,759 - INFO - sales: Chunk 104 inserted (100,000 rows)
2026-06-25 14:37:40,556 - INFO - sales: Chunk 105 inserted (100,000 rows)
2026-06-25 14:37:42,372 - INFO - sales: Chunk 106 inserted (100,000 rows)
2026-06-25 14:37:44,095 - INFO - sales: Chunk 107 inserted (100,000 rows)
2026-06-25 14:37:45,764 - INFO - sales: Chunk 108 inserted (100,000 rows)
2026-06-25 14:37:47,521 - INFO - sales: Chunk 109 inserted (100,000 rows)
2026-06-25 14:37:49,292 - INFO - sales: Chunk 110 inserted (100,000 rows)
2026-06-25 14:37:51,174 - INFO - sales: Chunk 111 inserted (100,000 rows)
2026-06-25 14:37:52,988 - INFO - sales: Chunk 112 inserted (100,000 rows)
2026-06-25 14:37:54,894 - INFO - sales: Chunk 113 inserted (100,000 rows)
2026-06-25 14:37:56,650 - INFO - sales: Chunk 114 inserted (100,000 rows)
2026-06-25 14:37:58,326 - INFO - sales: Chunk 115 inserted (100,000 rows)
2026-06-25 14:38:00,022 - INFO - sales: Chunk 116 inserted (100,000 rows)
2026-06-25 14:38:01,466 - INFO - sales: Chunk 117 inserted (100,000 rows)
2026-06-25 14:38:03,016 - INFO - sales: Chunk 118 inserted (100,000 rows)
2026-06-25 14:38:04,456 - INFO - sales: Chunk 119 inserted (100,000 rows)
2026-06-25 14:38:06,065 - INFO - sales: Chunk 120 inserted (100,000 rows)
2026-06-25 14:38:07,765 - INFO - sales: Chunk 121 inserted (100,000 rows)
2026-06-25 14:38:09,456 - INFO - sales: Chunk 122 inserted (100,000 rows)
2026-06-25 14:38:10,990 - INFO - sales: Chunk 123 inserted (100,000 rows)
2026-06-25 14:38:12,544 - INFO - sales: Chunk 124 inserted (100,000 rows)
2026-06-25 14:38:14,063 - INFO - sales: Chunk 125 inserted (100,000 rows)
2026-06-25 14:38:15,503 - INFO - sales: Chunk 126 inserted (100,000 rows)
2026-06-25 14:38:17,285 - INFO - sales: Chunk 127 inserted (100,000 rows)
2026-06-25 14:38:19,071 - INFO - sales: Chunk 128 inserted (100,000 rows)
2026-06-25 14:38:19,601 - INFO - sales: Chunk 129 inserted (25,363 rows)
2026-06-25 14:38:19,602 - INFO - sales completed in 219.27s
2026-06-25 14:38:19,606 - INFO - Starting vendor_invoice.csv
2026-06-25 14:38:19,684 - INFO - vendor_invoice: Chunk 1 inserted (5,543 rows)
2026-06-25 14:38:19,685 - INFO - vendor_invoice completed in 0.08s
2026-06-25 14:38:19,685 - INFO - ------------- Ingestion Complete -------------
2026-06-25 14:38:19,685 - INFO - Total Time Taken: 4.97 minutes
2026-06-25 17:01:04,796 - INFO - Creating Vendor Summary Table
2026-06-25 17:01:29,511 - INFO -    VendorNumber                   VendorName  Brand              Description  ...  TotalSalesDollars  TotalSalesPrice TotalExciseTax  FreightCost
0          1128  BROWN-FORMAN CORP             1233  Jack Daniels No 7 Black  ...         5101919.51        672819.31      260999.20     68601.68
1          4425        MARTIGNETTI COMPANIES   3405    Tito's Handmade Vodka  ...         4819073.49        561512.37      294438.66    144929.24
2         17035  PERNOD RICARD USA             8068         Absolut 80 Proof  ...         4538120.60        461140.15      343854.07    123780.22
3          3960  DIAGEO NORTH AMERICA INC      4261   Capt Morgan Spiced Rum  ...         4475972.88        420050.01      368242.80    257032.07
4          3960  DIAGEO NORTH AMERICA INC      3545          Ketel One Vodka  ...         4223107.62        545778.28      249587.83    257032.07

[5 rows x 14 columns]
2026-06-25 17:01:29,534 - INFO - Cleaning Data
2026-06-25 17:01:29,546 - INFO -    VendorNumber                VendorName  Brand              Description  ...  AvgBuyPrice  AvgSellPrice  PriceDifference  PriceDifferencePct
0          1128         BROWN-FORMAN CORP   1233  Jack Daniels No 7 Black  ...        26.27     35.916617         9.646617           36.721039
1          4425     MARTIGNETTI COMPANIES   3405    Tito's Handmade Vodka  ...        23.19     30.072784         6.882784           29.679967
2         17035         PERNOD RICARD USA   8068         Absolut 80 Proof  ...        18.24     24.249870         6.009870           32.948847
3          3960  DIAGEO NORTH AMERICA INC   4261   Capt Morgan Spiced Rum  ...        16.17     22.333857         6.163857           38.119089
4          3960  DIAGEO NORTH AMERICA INC   3545          Ketel One Vodka  ...        21.89     31.089295         9.199295           42.025102

[5 rows x 23 columns]
2026-06-25 17:01:29,566 - INFO - Ingesting Data
